Carrera,Carrito,Equipo,Fecha_y_ hora_Prestamo,Fecha_y_ hora_Devolucion,Institucion,Modulo,Tipo_Dispositivo
PEDAGOGIA,C04,C28,10/16/24 10:57,10/16/24 13:27,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
PEDAGOGIA,C03,E30,10/16/24 10:55,10/16/24 13:25,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
MATEMATICAS APLICADAS Y COMPUTACION,C01,C27,10/16/24 10:50,10/16/24 13:20,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
PEDAGOGIA,C04,C27,10/16/24 10:49,10/16/24 13:19,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
PEDAGOGIA,C04,C25,10/16/24 10:48,10/16/24 13:18,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ARQUITECTURA,C05,L13,10/16/24 10:52,10/16/24 13:22,F.E.S. ACATLAN,Módulo 2 A-11,Laptop
ARQUITECTURA,C05,L12,10/16/24 10:48,10/16/24 13:18,F.E.S. ACATLAN,Módulo 2 A-11,Laptop
PEDAGOGIA,C04,C24,10/16/24 10:46,10/16/24 13:16,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ARQUITECTURA,C01,C26,10/16/24 10:45,10/16/24 13:15,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
ARQUITECTURA,C04,L17,10/16/24 10:45,10/16/24 13:15,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
COMUNICACION,C04,C23,10/16/24 10:45,10/16/24 13:15,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
COMUNICACION,C05,L11,10/16/24 10:43,10/16/24 13:13,F.E.S. ACATLAN,Módulo 2 A-11,Laptop
ACTUARIA,C01,C25,10/16/24 10:42,10/16/24 13:12,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
PEDAGOGIA,C03,E29,10/16/24 10:42,10/16/24 13:12,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ACTUARIA,C01,C24,10/16/24 10:41,10/16/24 13:11,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
PEDAGOGIA,C03,E27,10/16/24 10:44,10/16/24 13:14,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ACTUARIA,C05,C14,10/16/24 10:41,10/16/24 13:11,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
MATEMATICAS APLICADAS Y COMPUTACION,C03,E26,10/16/24 10:46,10/16/24 13:16,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
